iso3,country,region,hdi_1990,hdi_1995,hdi_2000,hdi_2005,hdi_2010,hdi_2015,hdi_2020,hdi_2023,le_1990,le_1995,le_2000,le_2005,le_2010,le_2015,le_2020,le_2023,eys_1990,eys_1995,eys_2000,eys_2005,eys_2010,eys_2015,eys_2020,eys_2023
PAN,Panama,LAC,0.672,0.69,0.718,0.746,0.775,0.803,0.808,0.839,71.266,71.994,73.443,75.16,76.417,77.583,76.33,79.594,10.88070965,11.18601036,12.33343983,12.93978977,12.93607998,12.81215954,13.25128957,13.3116098
PNG,Papua New Guinea,EAP,0.403,0.442,0.456,0.473,0.503,0.543,0.567,0.576,59.778,60.929,61.609,61.868,63.056,64.473,65.075,66.134,4.600746032,5.316289902,6.142994287,7.10527999,8.067565692,9.425192187,11.12736798,11.51107187
PRY,Paraguay,LAC,0.607,0.637,0.664,0.683,0.709,0.737,0.742,0.756,67.341,68.778,70.026,71.317,72.551,73.454,72.72,73.844,9.1561203,10.40659046,12.14581013,12.60157967,13.17776012,13.33196507,13.48617001,13.98706964
PER,Peru,LAC,0.625,0.654,0.682,0.691,0.731,0.768,0.769,0.794,63.979,67.22,69.821,71.988,72.886,75.732,73.832,77.74,11.68725967,11.8151598,12.81503963,12.61705971,13.60830212,14.58991671,14.80487907,14.90939376
PHL,Philippines,EAP,0.593,0.609,0.632,0.656,0.669,0.69,0.699,0.72,64.382,66.311,67.789,68.423,68.883,69.45,70.097,69.833,10.73402023,10.89836025,11.53904009,11.58979034,11.54787788,12.61225033,12.78335953,12.81904666
POL,Poland,,0.722,0.754,0.801,0.826,0.852,0.879,0.88,0.906,70.606,71.959,73.645,75.127,76.282,77.589,76.595,78.633,12.11456966,13.10087967,14.89494991,15.37594032,15.76898956,16.41242027,15.84399033,16.67827988
PRT,Portugal,,0.707,0.773,0.797,0.81,0.836,0.857,0.87,0.89,74.304,75.55,76.83,78.317,80.115,81.321,81.366,82.36,11.83831978,15.41711998,15.6854403,15.21778965,16.11100006,16.38459969,16.66860962,17.48682022
QAT,Qatar,AS,0.767,0.788,0.795,0.815,0.834,0.86,0.872,0.886,73.405,74.404,75.25,76.909,79.444,81.785,80.409,82.368,12.08216,12.51344967,12.12788963,11.83990002,12.54948997,12.4894104,13.26426983,13.14116001
ROU,Romania,,0.719,0.701,0.73,0.765,0.822,0.823,0.832,0.845,69.841,69.323,71.159,71.581,73.579,74.737,74.046,75.938,12.47976971,10.81352043,12.20909977,13.0271101,16.19702911,14.59737968,14.45413971,14.05288029
RUS,Russian Federation,,0.762,0.713,0.75,0.78,0.808,0.833,0.818,0.832,69.279,63.995,64.998,65.219,68.153,71.345,71.171,73.154,12.65668964,11.57287979,12.79107237,14.13333988,14.37661982,14.91147041,13.24584007,13.18515015
